#ATLAS9 Vega flux: 1994A&A...281..817C
#In each flux file (except for the flux_reference_spectrum): 
#              col.3=wavelength in nm
#              col.4=frequency nu (s^-1)
#              col.5=Hnu (erg/cm^2/s/Hz/ster)
#              col.6=Hcont (erg/cm^2/s/Hz/ster)
#              col.7=Hnu/Hcont
#Hnu is Eddington flux
#Flambda=4*Hnu*c/wavelength^2  c=light velocity  
#
TEFF   9550.  GRAVITY 3.95000 LTE 
TITLE  [-0.5] VTURB=2 L/H=1.25  NOVER new odf                                   
FLUX   64     34.80        8.614727E+15   7.6772E-31   7.6772E-31   0.99999
FLUX   65     35.70        8.397549E+15   4.0483E-30   4.0483E-30   0.99998
FLUX   66     36.60        8.191052E+15   1.9696E-29   1.9696E-29   0.99999
FLUX   67     37.50        7.994467E+15   8.8857E-29   8.8862E-29   0.99994
FLUX   68     38.50        7.786818E+15   4.3665E-28   4.3666E-28   0.99999
FLUX   69     39.50        7.589684E+15   1.9781E-27   1.9782E-27   0.99995
FLUX   70     40.50        7.402284E+15   8.3222E-27   8.3222E-27   0.99999
FLUX   71     41.40        7.241365E+15   2.8592E-26   2.8592E-26   0.99999
FLUX   72     42.20        7.104088E+15   8.1896E-26   8.1897E-26   0.99999
FLUX   73     43.00        6.971919E+15   2.2538E-25   2.2543E-25   0.99980
FLUX   74     44.10        6.798016E+15   8.5301E-25   8.5302E-25   0.99999
FLUX   75     45.10        6.647284E+15   2.7065E-24   2.7065E-24   0.99999
FLUX   76     46.00        6.517228E+15   7.3257E-24   7.3257E-24   1.00000
FLUX   77     47.00        6.378564E+15   2.1165E-23   2.1165E-23   0.99998
FLUX   78     48.00        6.245677E+15   5.8392E-23   5.8392E-23   0.99999
FLUX   79     49.00        6.118214E+15   1.5457E-22   1.5458E-22   1.00000
FLUX   80     50.00        5.995850E+15   3.9353E-22   3.9353E-22   1.00000
FLUX   81     50.60        5.924753E+15   7.3167E-22   7.5904E-22   0.96394
FLUX   82     51.20        5.855322E+15   1.2778E-21   1.2814E-21   0.99715
FLUX   83     52.00        5.765240E+15   2.5202E-21   2.5267E-21   0.99743
FLUX   84     53.00        5.656462E+15   5.7343E-21   5.7353E-21   0.99982
FLUX   85     54.00        5.551713E+15   1.2605E-20   1.2631E-20   0.99797
FLUX   86     55.00        5.450773E+15   2.7023E-20   2.7026E-20   0.99992
FLUX   87     56.00        5.353438E+15   5.6254E-20   5.6255E-20   0.99998
FLUX   88     57.00        5.259518E+15   1.1399E-19   1.1399E-19   1.00000
FLUX   89     58.00        5.168836E+15   2.2494E-19   2.2533E-19   0.99828
FLUX   90     59.00        5.081229E+15   4.3550E-19   4.3552E-19   0.99995
FLUX   91     60.00        4.996542E+15   8.2306E-19   8.2311E-19   0.99995
FLUX   92     61.00        4.914631E+15   1.5224E-18   1.5224E-18   1.00000
FLUX   93     62.00        4.835363E+15   2.7575E-18   2.7575E-18   0.99999
FLUX   94     63.00        4.758611E+15   4.9005E-18   4.9005E-18   1.00000
FLUX   95     64.00        4.684258E+15   8.5556E-18   8.5561E-18   0.99995
FLUX   96     65.00        4.612192E+15   1.4676E-17   1.4676E-17   1.00000
FLUX   97     65.80        4.556117E+15   2.2319E-17   2.2319E-17   1.00000
FLUX   98     66.50        4.508158E+15   3.1933E-17   3.1934E-17   0.99997
FLUX   99     67.50        4.441370E+15   5.2568E-17   5.2569E-17   0.99997
FLUX  100     68.50        4.376533E+15   8.5271E-17   8.5272E-17   0.99998
FLUX  101     69.50        4.313561E+15   1.3638E-16   1.3638E-16   1.00000
FLUX  102     70.50        4.252376E+15   2.1509E-16   2.1511E-16   0.99991
FLUX  103     71.60        4.187046E+15   3.4963E-16   3.4963E-16   1.00000
FLUX  104     72.60        4.129373E+15   5.3658E-16   5.3658E-16   1.00000
FLUX  105     73.50        4.078810E+15   7.8106E-16   7.8106E-16   1.00000
FLUX  106     74.50        4.024060E+15   1.1725E-15   1.1725E-15   0.99999
FLUX  107     75.50        3.970762E+15   1.7401E-15   1.7401E-15   0.99999
FLUX  108     76.50        3.918856E+15   2.5548E-15   2.5549E-15   0.99998
FLUX  109     77.50        3.868290E+15   3.7124E-15   3.7125E-15   0.99999
FLUX  110     78.50        3.819013E+15   5.3417E-15   5.3417E-15   1.00000
FLUX  111     79.50        3.770975E+15   7.6130E-15   7.6141E-15   0.99985
FLUX  112     80.50        3.724130E+15   1.0752E-14   1.0752E-14   0.99997
FLUX  113     81.50        3.678436E+15   1.5049E-14   1.5049E-14   0.99999
FLUX  114     82.50        3.633848E+15   2.0885E-14   2.0885E-14   1.00000
FLUX  115     83.50        3.590329E+15   2.8747E-14   2.8748E-14   0.99997
FLUX  116     84.50        3.547840E+15   3.9259E-14   3.9259E-14   1.00000
FLUX  117     85.50        3.506345E+15   5.3204E-14   5.3204E-14   1.00000
FLUX  118     86.50        3.465809E+15   7.1571E-14   7.1571E-14   1.00000
FLUX  119     87.50        3.426200E+15   9.5590E-14   9.5592E-14   0.99998
FLUX  120     88.50        3.387486E+15   1.2679E-13   1.2679E-13   1.00000
FLUX  121     89.50        3.349637E+15   1.6708E-13   1.6708E-13   1.00000
FLUX  122     90.50        3.312624E+15   2.1874E-13   2.1875E-13   0.99995
FLUX  123     91.50        3.276421E+15   1.3703E-11   4.6213E-11   0.29651
FLUX  124     92.50        3.241000E+15   2.1387E-11   5.7355E-11   0.37289
FLUX  125     93.50        3.206337E+15   3.3159E-11   7.0015E-11   0.47359
FLUX  126     94.50        3.172407E+15   5.4476E-11   8.4689E-11   0.64325
FLUX  127     95.50        3.139188E+15   7.8372E-11   1.0213E-10   0.76741
FLUX  128     96.50        3.106658E+15   1.0415E-10   1.2123E-10   0.85905
FLUX  129     97.50        3.074795E+15   9.2679E-11   1.3912E-10   0.66620
FLUX  130     98.50        3.043579E+15   1.5285E-10   1.7186E-10   0.88937
FLUX  131     99.50        3.012990E+15   1.7321E-10   2.0221E-10   0.85659
FLUX  132    100.50        2.983010E+15   2.1957E-10   2.3634E-10   0.92902
FLUX  133    101.50        2.953621E+15   2.5079E-10   2.7205E-10   0.92186
FLUX  134    102.50        2.924805E+15   1.9909E-10   3.2741E-10   0.60810
FLUX  135    103.50        2.896546E+15   3.3900E-10   3.7891E-10   0.89468
FLUX  136    104.50        2.868828E+15   4.2209E-10   4.4345E-10   0.95182
FLUX  137    105.50        2.841635E+15   4.9495E-10   5.1614E-10   0.95894
FLUX  138    106.50        2.814953E+15   5.5885E-10   6.0041E-10   0.93078
FLUX  139    107.50        2.788767E+15   6.6799E-10   6.9812E-10   0.95684
FLUX  140    108.50        2.763065E+15   7.7037E-10   8.1000E-10   0.95107
FLUX  141    109.50        2.737831E+15   8.6087E-10   9.3626E-10   0.91948
FLUX  142    110.50        2.713054E+15   1.4384E-09   1.6642E-07   0.00864
FLUX  143    111.50        2.688722E+15   4.0265E-08   2.4938E-07   0.16146
FLUX  144    112.50        2.664822E+15   7.3234E-08   3.2160E-07   0.22772
FLUX  145    113.50        2.641344E+15   1.0628E-07   4.3232E-07   0.24584
FLUX  146    114.50        2.618275E+15   9.3756E-08   4.6287E-07   0.20255
FLUX  147    115.50        2.595606E+15   9.0049E-08   4.4720E-07   0.20136
FLUX  148    116.50        2.573326E+15   6.8206E-08   3.7904E-07   0.17994
FLUX  149    117.50        2.551426E+15   2.9237E-08   2.6550E-07   0.11012
FLUX  150    118.50        2.529895E+15   2.0919E-08   8.6226E-07   0.02426
FLUX  151    119.50        2.508724E+15   3.4943E-09   8.8218E-07   0.00396
FLUX  152    120.50        2.487905E+15   2.8389E-09   8.9428E-07   0.00317
FLUX  153    121.50        2.467428E+15   7.7639E-10   9.0040E-07   0.00086
FLUX  154    122.50        2.447286E+15   3.1435E-09   1.0538E-06   0.00298
FLUX  155    123.50        2.427470E+15   6.5364E-09   1.0526E-06   0.00621
FLUX  156    124.50        2.407972E+15   1.3181E-08   1.0472E-06   0.01259
FLUX  157    125.50        2.388785E+15   1.2946E-07   2.1743E-06   0.05954
FLUX  158    126.50        2.369901E+15   3.1400E-07   3.1629E-06   0.09928
FLUX  159    127.50        2.351314E+15   8.6995E-07   3.8592E-06   0.22542
FLUX  160    128.50        2.333016E+15   1.6319E-06   4.5083E-06   0.36197
FLUX  161    129.50        2.315000E+15   1.9440E-06   4.9316E-06   0.39418
FLUX  162    130.50        2.297261E+15   1.3250E-06   5.3204E-06   0.24904
FLUX  163    131.50        2.279791E+15   2.4955E-06   5.6029E-06   0.44540
FLUX  164    132.50        2.262585E+15   3.0308E-06   5.8507E-06   0.51802
FLUX  165    133.50        2.245637E+15   3.0582E-06   6.0448E-06   0.50591
FLUX  166    134.50        2.228941E+15   3.8913E-06   6.2134E-06   0.62627
FLUX  167    135.50        2.212491E+15   3.6776E-06   6.3516E-06   0.57900
FLUX  168    136.50        2.196282E+15   3.4323E-06   6.4733E-06   0.53022
