 26 1112 210011 2021 G2V    3.751  0.811  0.634  0.354  0.719  1.208  1.535  1.559 -0.2   4.6 -0.10  0.62  1.46 0.994 5491 1.40e-02 1.10e-02 2.e-03 1.e-04  g2v
 27 1110 101001 2000 G5V    3.747  0.954  0.686  0.363  0.735  1.190  1.452  1.507  0.0   4.7 -0.08  0.66  1.43 0.991 5492 0.00e+00 8.00e-03 3.e-03 5.e-05  g5v
 28 1112 120000 0000 wG5V   3.760  0.767  0.651  0.352  0.687  1.145  1.474  1.539 -0.4   5.0 -0.07  0.61  1.47 0.991 5489 2.30e-02 1.70e-02 0.e+00 2.e-05  wg5v
 29 1111 110000 0000 rG5V   3.748  0.998  0.697  0.378  0.730  1.217  1.581  1.630  0.1   3.9 -0.10  0.63  1.53 0.990 5495 0.00e+00 9.00e-03 0.e+00 8.e-05  rg5v
 30 3021 220000 2100 G8V    3.727  1.127  0.752  0.414  0.813  1.341  1.692  1.758  0.4   5.1 -0.14  0.68  1.62 0.977 5501 3.70e-02 1.00e-02 4.e-03 1.e-04  g8v
 31 3020 001002 0100 K0V    3.715  1.197  0.771  0.450  0.867  1.384  1.825  1.898  0.1   5.4 -0.18  0.69  1.72 0.978 5505 0.00e+00 1.20e-02 0.e+00 1.e-04  k0v
 32 3011 010020 2210 rK0V   3.719  1.404  0.833  0.455  0.850  1.501  1.958  2.015  0.5   4.7 -0.20  0.65  1.81 0.973 5511 0.00e+00 1.00e-02 5.e-03 4.e-04  rk0v
 33 1120 001001 0200 K2V    3.689  1.578  0.924  0.520  0.968  1.650  2.142  2.226  0.0   5.9 -0.29  0.68  1.94 0.957 5521 0.00e+00 1.00e-02 0.e+00 2.e-04  k2v
 34 3010 010010 1100 K3V    3.653  1.728  0.930  0.596  1.109  1.808  2.366  2.396  0.0   6.4 -0.40  0.71  2.00 0.932 5538 0.00e+00 4.00e-03 0.e+00 5.e-04  k3v
 35 3021 101000 0000 K4V    3.638  1.945  1.085  0.662  1.232  1.973  2.541  2.643  0.0   6.7 -0.51  0.73  2.14 0.930 5547 0.00e+00 1.30e-02 0.e+00 7.e-05  k4v
 36 3010 000000 0000 K5V    3.622  2.341  1.205  0.751  1.361  2.172  2.770  2.872  0.0   7.0 -0.64  0.72  2.23 0.916 5569 0.00e+00 3.00e-05 0.e+00 2.e-04  k5v
 37 3040 200000 2100 K7V    3.602  2.462  1.368  0.828  1.578  2.398  2.968  3.094  0.0   7.4 -0.81  0.77  2.29 0.904 5576 4.20e-02 1.00e-03 1.e-02 5.e-04  k7v
 38 3010 000001 0000 M0V    3.580  2.514  1.321  0.862  1.709  2.855  3.514  3.678  0.0   7.5 -1.12  0.59  2.56 0.899 5576 0.00e+00 9.00e-03 0.e+00 2.e-04  m0v
 39 4000 001011 0000 M1V    3.566  2.575  1.375  0.881  1.874  2.974  3.622  3.896  0.0   7.8 -1.25  0.62  2.64 0.925 5569 0.00e+00 2.10e-02 0.e+00 2.e-04  m1v
 40 3020 010001 1010 M2V    3.55   2.495  1.436  0.959  2.020  3.294  3.961  4.139  0.0   8.1 -1.48  0.54  2.66 0.938 5574 0.00e+00 2.00e-02 0.e+00 2.e-03  m2v
 41 3000 001001 0200 M2.5V  3.537  2.666  1.502  1.020  2.253  3.561  4.202  4.407  0.0   8.4 -1.71  0.54  2.69 0.952 5570 0.00e+00 2.40e-02 0.e+00 9.e-04  m2p5v
 42 3010 210000 0000 M3V    3.519  2.573  1.515  1.074  2.436  3.817  4.449  4.674  0.0   8.7 -1.93  0.50  2.74 0.993 5562 8.00e-02 2.00e-02 0.e+00 7.e-04  m3v
 43 3010 001000 0000 M4V    3.493  3.012  1.594  1.216  2.781  4.422  5.038  5.306  0.0   9.1 -2.44  0.34  2.86 1.029 5554 0.00e+00 8.00e-03 0.e+00 1.e-03  m4v
 44 3010 001000 1010 M5V    3.470  3.021  1.663  1.370  3.140  5.253  6.096  6.393  0.0   9.5 -3.22 -0.08  3.17 1.068 5565 0.00e+00 7.30e-02 0.e+00 2.e-02  m5v
 45 3010 000000 0000 M6V    3.431  3.045  1.816  1.654  3.693  6.362  7.026  7.409  0.0  10.0 -4.20 -0.51  3.21 1.339 5566 0.00e+00 4.00e-03 0.e+00 5.e-03  m6v
 46 0220 000011 0100 B2IV   4.300 -1.152 -0.302 -0.128 -0.243 -0.623 -0.722 -0.744  0.0  -4.6 -1.9  -2.2  -2.7  1.064 5424 1.15e+00 2.00e-03 0.e+00 4.e-05  b2iv
 47 0420 000000 0000 B6IV   4.100 -0.417 -0.114 -0.042 -0.088 -0.320 -0.422 -0.451  0.0  -2.4 -0.8  -0.9  -1.3  1.055 5433 5.60e-01 1.12e-01 0.e+00 3.e-05  b6iv
 48 0430 000001 0000 A0IV   3.988 -0.014 -0.045 -0.011 -0.004 -0.021 -0.016 -0.029  0.0  -0.1 -0.2  -0.2  -0.2  1.045 5440 1.80e-01 3.60e-02 0.e+00 3.e-05  a0iv
 49 0220 010000 0000 A47IV  3.90   0.167  0.077  0.035  0.094  0.281  0.387  0.380  0.0   1.1 -0.00  0.09  0.38 1.034 5446 3.90e-02 1.00e-03 0.e+00 5.e-05  a47iv
 50 1330 210002 0000 F02IV  3.847  0.360  0.339  0.199  0.408  0.593  0.696  0.740  0.0   2.0  0.03  0.44  0.77 1.012 5468 3.00e-02 9.00e-03 0.e+00 4.e-05  f02iv
 51 1121 000002 1000 F5IV   3.817  0.416  0.397  0.243  0.503  0.799  0.972  0.981  0.0   2.3 -0.01  0.49  0.97 1.014 5473 0.00e+00 4.00e-03 0.e+00 7.e-05  f5iv
 52 3002 010002 1010 F8IV   3.789  0.660  0.550  0.285  0.589  1.030  1.276  1.287  0.0   2.7 -0.03  0.56  1.26 0.999 5481 0.00e+00 1.50e-02 0.e+00 2.e-04  f8iv
 53 3010 110010 0000 G0IV   3.773  0.793  0.593  0.319  0.642  1.007  1.397  1.386  0.0   3.2 -0.04  0.61  1.35 1.000 5486 0.00e+00 8.00e-03 0.e+00 5.e-05  g0iv
 54 3050 110001 0100 G2IV   3.755  0.967  0.677  0.343  0.703  1.105  1.398  1.495 -0.1   3.1 -0.05  0.65  1.45 0.992 5489 0.00e+00 6.00e-03 0.e+00 1.e-04  g2iv
 55 3021 111010 0000 G5IV   3.748  1.132  0.752  0.393  0.771  1.207  1.506  1.601  0.1   3.1 -0.08  0.69  1.52 0.992 5497 0.00e+00 1.50e-02 0.e+00 2.e-05  g5iv
 56 3030 001001 1000 G8IV   3.725  1.365  0.821  0.445  0.864  1.400  1.737  1.804 -0.4   3.1 -0.15  0.71  1.65 0.983 5504 0.00e+00 6.00e-03 0.e+00 4.e-05  g8iv
 57 3030 000001 0000 K0IV   3.700  1.653  0.950  0.507  0.963  1.422  1.907  1.994 -0.0   2.9 -0.21  0.75  1.79 0.971 5516 0.00e+00 3.00e-03 0.e+00 6.e-05  k0iv
 58 3020 000000 0000 K1IV   3.680  1.714  0.974  0.556  1.036  1.526  2.011  2.096 -0.3   2.8 -0.27  0.76  1.82 0.974 5525 0.00e+00 0.00e+00 0.e+00 1.e-04  k1iv
 59 3040 000000 0000 K3IV   3.660  2.339  1.184  0.615  1.172  1.828  2.319  2.411  0.0   2.6 -0.39  0.78  2.02 0.939 5537 0.00e+00 3.00e-03 0.e+00 9.e-05  k3iv
 60 1200 510001 0000 O8III  4.500 -1.402 -0.336 -0.162 -0.354 -0.820 -0.828 -0.954  0.0  -8.7 -3.1  -3.5  -4.1  1.064 5420 4.61e+00 1.50e-02 0.e+00 6.e-06  o8iii
 61 1620 200003 0200 B12III 4.300 -1.177 -0.264 -0.139 -0.244 -0.526 -0.618 -0.721  0.0  -5.9 -1.8  -2.0  -2.5  1.063 5421 3.08e+00 2.00e-03 0.e+00 3.e-05  b12iii
 62 1310 200001 0000 B3III  4.230 -0.854 -0.188 -0.121 -0.163 -0.519 -0.524 -0.540  0.0  -4.6 -1.4  -1.5  -1.9  1.059 5423 1.09e+00 1.00e-03 0.e+00 4.e-05  b3iii
 63 1410 300003 0000 B5III  4.170 -0.628 -0.150 -0.077 -0.097 -0.324 -0.420 -0.435  0.0  -3.5 -1.01 -1.11 -1.45 1.069 5428 8.66e-01 2.00e-03 0.e+00 4.e-05  b5iii
 64 1410 300004 0000 B9III  4.045 -0.173 -0.080 -0.031 -0.058 -0.122 -0.218 -0.229  0.0  -1.3 -0.39 -0.45 -0.63 1.054 5437 2.39e-01 1.00e-03 0.e+00 3.e-05  b9iii
 65 1110 100001 0000 A0III  3.981  0.044  0.037  0.001  0.008 -0.019 -0.017 -0.035  0.0  -0.4 -0.29 -0.28 -0.32 1.033 5443 0.00e+00 1.00e-03 0.e+00 3.e-05  a0iii
 66 1100 200001 1000 A3III  3.953  0.240  0.130  0.046  0.076  0.084 -0.050 -0.082  0.0   0.3  0.08  0.16 -0.00 1.036 5449 0.00e+00 1.00e-03 0.e+00 8.e-06  a3iii
 67 1110 100000 0000 A5III  3.927  0.282  0.175  0.073  0.164  0.285  0.387  0.377  0.0   0.5  0.04  0.20  0.41 1.028 5451 0.00e+00 0.00e+00 0.e+00 3.e-05  a5iii
 68 1300 110002 2000 A7III  3.906  0.350  0.210  0.117  0.240  0.399  0.278  0.383  0.0   1.0  0.05  0.29  0.43 1.020 5459 0.00e+00 6.00e-03 1.e-03 2.e-05  a7iii
 69 1211 101002 0000 F0III  3.880  0.388  0.271  0.141  0.317  0.493  0.689  0.676  0.0   1.1  0.05  0.37  0.73 1.018 5461 3.00e-02 1.30e-02 0.e+00 4.e-05  f0iii
 70 3000 100001 0000 F2III  3.835  0.450  0.417  0.232  0.445  0.694  0.797  0.787  0.0   1.6  0.03  0.48  0.82 0.992 5474 0.00e+00 2.00e-03 0.e+00 8.e-06  f2iii
 71 1101 411002 0000 F5III  3.815  0.487  0.425  0.252  0.507  0.801  1.094  1.080  0.0   1.6 -0.02  0.49  1.06 1.006 5475 3.40e-02 1.20e-02 0.e+00 7.e-06  f5iii
 72 3001 210000 1120 G0III  3.749  0.935  0.661  0.369  0.726  1.306  1.742  1.761 -0.22  2.0 -0.13  0.60  1.63 0.994 5493 4.30e-02 8.00e-03 0.e+00 2.e-04  g0iii
 73 3001 101011 3110 G5III  3.713  1.447  0.886  0.450  0.872  1.542  2.005  2.053 -0.12  3.2 -0.21  0.66  1.84 0.985 5505 0.00e+00 1.10e-02 4.e-03 2.e-04  g5iii
 74 3020 210001 0000 wG5III 3.715  1.194  0.806  0.449  0.864  1.466  1.910  2.002 -0.26  2.8 -0.20  0.66  1.80 0.975 5506 4.20e-02 1.50e-02 0.e+00 4.e-05  wg5iii
 75 3002 200111 0000 rG5III 3.709  1.430  0.874  0.465  0.889  1.615  2.110  2.206  0.23  3.4 -0.25  0.64  1.96 0.973 5510 4.80e-02 1.20e-02 0.e+00 2.e-05  rg5iii
 76 3010 310012 1110 G8III  3.700  1.630  0.946  0.480  0.927  1.587  2.070  2.121  0.06  3.1 -0.24  0.69  1.88 0.973 5512 2.00e-02 9.00e-03 0.e+00 4.e-04  g8iii
 77 3010 001111 0000 wG8III 3.701  1.508  0.869  0.468  0.922  1.516  2.006  2.097 -0.38  2.7 -0.23  0.70  1.87 0.984 5508 0.00e+00 1.60e-02 0.e+00 3.e-05  wg8iii
 78 3020 001001 2121 K0III  3.686  1.796  0.957  0.502  0.978  1.687  2.192  2.254 -0.08  3.1 -0.29  0.69  1.96 0.978 5512 0.00e+00 1.00e-02 5.e-03 3.e-04  k0iii
 79 3020 000301 0000 wK0III 3.697  1.525  0.948  0.483  0.938  1.616  2.108  2.201 -0.33  2.5 -0.26  0.68  1.94 0.976 5511 3.00e-02 8.00e-03 0.e+00 5.e-05  wk0iii
 80 3020 100001 0000 rK0III 3.683  1.900  0.995  0.522  0.989  1.768  2.309  2.402  0.18  3.3 -0.33  0.66  2.07 0.970 5518 2.50e-02 1.10e-02 0.e+00 1.e-04  rk0iii
 81 3030 000001 2000 K1III  3.668  1.985  1.036  0.544  1.044  1.818  2.334  2.408 +0.09  1.8 -0.36  0.68  2.05 0.978 5521 2.10e-02 2.00e-03 8.e-03 6.e-05  k1iii
 82 3030 001000 0000 wK1III 3.683  1.838  1.016  0.516  0.990  1.773  2.315  2.410 -0.10  1.2 -0.33  0.66  2.08 0.970 5518 2.30e-02 1.00e-04 0.e+00 6.e-05  wk1iii
 83 3031 001210 0000 rK1III 3.662  2.252  1.103  0.561  1.067  1.925  2.514  2.606  0.27  3.2 -0.43  0.64  2.18 0.960 5528 0.00e+00 1.30e-02 0.e+00 8.e-05  rk1iii
 84 3020 010001 2012 K2III  3.649  2.141  1.105  0.587  1.132  1.971  2.618  2.669  0.05  0.9 -0.47  0.66  2.20 0.957 5528 3.30e-02 4.00e-03 2.e-03 7.e-04  k2iii
 85 3020 000101 0000 wK2III 3.666  2.058  1.039  0.537  1.053  1.916  2.506  2.600 -0.38  0.7 -0.42  0.64  2.18 0.970 5519 1.30e-02 9.00e-03 0.e+00 4.e-05  wk2iii
 86 3001 320011 0000 rK2III 3.648  2.380  1.193  0.599  1.139  2.077  2.716  2.810  0.24  2.5 -0.52  0.62  2.29 0.956 5533 2.40e-02 1.50e-02 0.e+00 3.e-05  rk2iii
 87 3010 001001 1211 K3III  3.640  2.436  1.210  0.622  1.169  2.220  2.946  3.113 -0.02  0.5 -0.63  0.54  2.49 0.959 5536 0.00e+00 1.60e-02 0.e+00 8.e-04  k3iii
 88 3020 001100 0000 wK3III 3.645  2.166  1.144  0.600  1.163  2.122  2.808  2.902 -0.36 -0.2 -0.57  0.60  2.34 0.964 5529 0.00e+00 6.00e-03 0.e+00 5.e-05  wk3iii
 89 3031 100320 0000 rK3III 3.641  2.715  1.313  0.640  1.195  2.281  2.970  3.115  0.27  1.6 -0.65  0.54  2.46 0.943 5541 0.00e+00 1.20e-02 0.e+00 4.e-05  rk3iii
 90 3020 101000 1100 K4III  3.626  2.976  1.434  0.705  1.339  2.417  3.209  3.378  0.09 -0.5 -0.79  0.55  2.59 0.927 5552 2.50e-02 7.00e-03 0.e+00 6.e-04  k4iii
 91 3030 001000 0000 wK4III 3.628  2.747  1.342  0.701  1.323  2.334  3.022  3.216 -0.33 -1.0 -0.73  0.60  2.49 0.938 5550 2.30e-02 1.00e-02 0.e+00 8.e-05  wk4iii
 92 3011 111200 0000 rK4III 3.626  2.800  1.409  0.709  1.340  2.487  3.224  3.418  0.15  0.6 -0.83  0.51  2.59 0.934 5552 0.00e+00 1.50e-02 0.e+00 1.e-04  rk4iii
 93 3030 001002 3311 K5III  3.603  3.066  1.422  0.780  1.541  2.674  3.398  3.570 -0.09 -1.3 -0.98  0.56  2.59 0.933 5558 4.10e-02 2.10e-02 2.e-02 2.e-03  k5iii
 94 3020 011111 0000 rK5III 3.601  3.241  1.499  0.812  1.565  2.747  3.530  3.724  0.08 -0.3 -1.05  0.51  2.67 0.925 5567 0.00e+00 1.80e-02 0.e+00 1.e-04  rk5iii
 95 1031 100000 0010 M0III  3.582  3.020  1.431  0.803  1.648  2.808  3.684  3.814  0.0  -1.9 -1.24  0.41  2.57 0.936 5559 3.90e-02 2.00e-02 0.e+00 2.e-02  m0iii
 96 1001 011010 0110 M1III  3.577  3.006  1.436  0.828  1.755  2.971  3.868  3.991  0.0  -2.1 -1.38  0.37  2.61 0.928 5558 0.00e+00 2.40e-02 0.e+00 2.e-02  m1iii
 97 1010 000001 1010 M2III  3.569  3.047  1.454  0.872  1.861  3.132  4.050  4.232  0.0  -2.3 -1.53  0.33  2.70 0.937 5557 0.00e+00 9.00e-03 0.e+00 3.e-02  m2iii
 98 1032 110001 4100 M3III  3.560  2.953  1.432  0.908  2.078  3.437  4.361  4.537  0.0  -2.5 -1.81  0.27  2.73 0.941 5548 6.10e-02 2.70e-02 6.e-02 4.e-02  m3iii
 99 1032 110010 2000 M4III  3.551  2.795  1.396  0.989  2.394  3.953  4.876  5.073  0.0  -2.8 -2.26  0.13  2.81 0.953 5534 2.70e-02 6.00e-02 6.e-02 9.e-02  m4iii
100 1031 210002 3010 M5III  3.534  2.386  1.294  1.113  2.773  4.660  5.622  5.842  0.0  -3.0 -2.92 -0.15  2.92 0.979 5516 2.74e-01 9.40e-02 2.e-01 1.e-01  m5iii
101 1021 111001 0000 M6III  3.512  2.085  1.231  1.325  3.222  5.551  6.577  6.794  0.0  -3.5 -3.78 -0.56  3.01 0.973 5507 6.33e-01 2.02e-01 0.e+00 2.e-01  m6iii
102 1030 000001 1020 M7III  3.495  1.426  1.089  1.653  3.806  6.762  7.820  8.046  0.0  -3.8 -4.95 -1.14  3.10 1.027 5511 3.88e+00 3.51e-01 0.e+00 8.e-01  m7iii
103 1020 000001 2000 M8III  3.461  1.051  1.156  1.848  4.108  8.040  9.078  9.362  0.0  -4.2 -6.15 -2.04  3.21 1.021 5532 3.84e+01 9.62e-01 4.e+01 4.e+00  m8iii
104 0000 000000 0000 M9III  3.426  0.960  1.168  1.680  3.864  8.037  8.968  9.325  0.0  -4.6 -6.09 -2.23  3.23 0.966 5502 0.00e+00 0.00e+00 0.e+00 0.e+00  m9iii
105 0000 000000 0000 M10III 3.398  0.727  1.029  1.674  3.976  8.331  9.114  9.575  0.0  -5.0 -6.35 -2.38  3.22 0.970 5463 0.00e+00 0.00e+00 0.e+00 0.e+00  m10iii
106 1300 100001 0000 B2II   4.204 -1.055 -0.168 -0.121 -0.218 -0.386 -0.421 -0.427  0.0  -6.0 -1.2  -1.4  -1.6  1.076 5422 2.32e+00 3.00e-03 0.e+00 1.e-05  b2ii
107 1100 000001 0000 B5II   4.100 -0.754 -0.124 -0.060 -0.147 -0.164 -0.146 -0.150  0.0  -5.0 -0.9  -1.0  -1.0  1.045 5434 0.00e+00 1.00e-03 0.e+00 1.e-05  b5ii
108 3001 100001 0000 F0II   3.900  0.336  0.148  0.088  0.203  0.435  0.587  0.617  0.0  -2.5  0.09  0.29  0.71 1.038 5450 0.00e+00 1.10e-02 0.e+00 4.e-06  f0ii
