 40 M2V    3.0 14.8 .42  9.7 2.9 1.5  1.0  0.0  1.1  0.0 24.2  3.8 13.5  0.0 2.36  0.0
 41 M2.5V  2.2 13.7 .37 12.  2.8 0.3  0.0  0.0  3.3  0.0 22.0  4.6  7.1  0.0 2.31  0.0
 42 M3V    4.0 14.1 .38 10.  2.8 1.8  0.0  0.0  3.9  0.0  3.0  1.3  2.0  0.0 2.06  0.0
 43 M4V    0.0 16.6 .46 15.  1.6 2.1  8.5  0.0  5.9  0.0 20.4  1.7 21.9  0.0 2.52  0.0
 44 M5V    0.0 15.7 .43 14.  1.1 1.7  7.0  1.7  4.3  0.0  9.1  0.0 22.4  0.0 2.35  0.0
 45 M6V    6.8 15.7 .42 19.  1.7 1.3  0.0  0.0  3.4  0.0  0.0  0.0  0.0  0.0 1.54  0.0
 46 B2IV   0.0  2.3 .05  0.0 0.0 0.2  3.7  4.4  5.9  4.4  2.1  3.4  0.5  0.0 1.03  0.0
 47 B6IV   0.0  1.6 .04  0.0 0.0 0.2  8.8  8.6  8.7  4.8  5.0  0.0  0.0  7.4 1.21  0.0
 48 A0IV   0.0  2.2 .05  0.0 0.1 0.3 13.1 14.2 12.9  9.1  7.9  7.9  0.0  6.1 1.42  0.0
 49 A47IV  0.0  2.7 .06  0.0 1.0 0.8 11.5 11.5 11.9  8.2 14.4  8.4  1.1 11.0 1.48  0.0
 50 F02IV  0.0  2.4 .05  0.0 1.1 0.9  5.8  5.6  6.9  5.4 17.8  6.0  0.0  0.0 1.45  0.0
 51 F5IV   0.1  2.5 .06  0.0 0.8 0.9  5.5  5.9  6.5  4.4 17.2  5.9  6.6  0.0 1.56  0.0
 52 F8IV   3.5  4.0 .09  2.0 1.5 1.1  1.9  2.4  4.5  3.5 21.2  5.9 15.3  0.0 1.77 -0.40
 53 G0IV   4.5  4.1 .10  2.8 1.8 1.2  0.2  1.3  4.3  3.0 23.1  6.7 21.3  0.0 1.90 -0.26
 54 G2IV   6.3  4.3 .11  4.2 1.8 1.3  0.0  0.0  2.4  1.5 25.8  6.3 29.2  0.0 2.10 -0.09
 55 G5IV   5.3  6.2 .15  5.4 2.1 1.3  0.0  0.0  2.9  1.9 22.8  6.5 27.5  2.5 2.19  0.14
 56 G8IV   6.1  4.9 .12  4.3 1.3 0.6  0.0  0.6  1.1  1.7 26.9  6.3 26.6  0.0 2.49 -0.44
 57 K0IV   6.5  6.4 .16  6.7 2.0 1.3  0.0  0.0  2.3  1.1 26.2  5.6 29.2  1.1 2.63 -0.04
 58 K1IV   4.0  5.0 .12  7.5 1.3 1.0  0.0  0.0  2.1  0.9 21.9  1.0 28.9  3.6 2.65 -0.31
 59 K3IV   4.4  8.6 .23  8.5 2.2 1.2  0.0  0.0  1.2  0.3 29.0  1.0 32.3  2.7 3.35 -0.0
 60 O8III  0.0  1.9 .05  0.0 0.1 0.0  2.8  0.5  2.7  1.8  1.9  1.0  0.0  0.0 0.9   0.0
 61 B12III 0.0  1.7 .04  0.0 0.0 0.0  4.1  4.1  4.8  2.9  4.0  2.0  0.2  0.0 0.9   0.0
 62 B3III  0.0  1.5 .04  0.0 0.0 0.1  3.6  2.8  3.8  2.0  3.0  1.3  2.4  0.0 1.1   0.0
 63 B5III  0.0  1.9 .05  0.0 0.0 0.1  4.7  4.2  5.0  3.7  4.0  4.9  0.3  5.8 1.1   0.0
 64 B9III  0.0  2.3 .05  0.0 0.0 0.2 11.6 11.4 12.3  7.6  7.6  6.3  0.2  5.2 1.2   0.0
 65 A0III  0.0  2.5 .05  0.0 0.9 0.9 14.0 16.6 17.7  9.0 13.9  8.7  3.2  3.8 1.4   0.0
 66 A3III  0.0  1.9 .04  0.0 0.9 0.9 14.4 16.3 15.8  8.6 13.1  5.9  2.7  0.0 1.4   0.0
 67 A5III  0.0  2.2 .05  0.0 1.3 0.8 10.0 11.0 12.5  6.7 13.6  0.6  0.5  8.3 1.5   0.0
 68 A7III  0.0  2.5 .06  0.0 0.9 0.8 10.8 12.4 12.3  7.3 15.0  6.8  3.9  0.0 1.5   0.0
 69 F0III  0.0  2.2 .05  0.0 1.0 0.9  9.6 11.0  9.6  7.3 14.7  5.7  0.4  0.0 1.5   0.0
 70 F2III  0.0  2.9 .07  0.0 0.9 0.8  5.4  6.2  6.8  3.9 16.4  6.8  1.8  0.0 1.5   0.0
 71 F5III  1.0  3.1 .07  0.0 1.2 0.9  4.2  5.7  6.1  4.6 18.0  5.6  6.6  0.0 1.6   0.0
 72 G0III  4.1  4.6 .11  3.2 2.0 1.4  0.0  1.0  4.0  2.2 22.1  6.5 29.5  2.4 1.98 -0.22
 73 G5III  5.9  4.6 .11  5.9 2.1 1.3  0.0  0.0  2.4  1.0 27.8  7.6 35.9  2.7 2.45 -0.12
 74 wG5III 5.4  4.2 .10  5.1 2.1 1.3  0.0  0.0  2.5  1.1 23.7  6.6 24.8  3.7 2.02 -0.26
 75 rG5III 6.1  6.8 .17  7.4 2.4 1.6  0.0  0.0  2.4  1.3 27.1  6.7 35.2  0.0 2.50  0.23
 76 G8III  6.2  5.6 .14  7.0 2.6 1.6  0.0  0.0  2.7  1.1 28.1  7.0 36.3  0.6 2.57  0.06
 77 wG8III 6.1  4.1 .10  5.1 1.8 1.0  0.0  0.4  2.8  1.6 30.1  7.2 29.0  2.5 2.20 -0.38
 78 K0III  5.5  5.4 .14  7.4 2.0 1.0  0.0  0.0  2.3  1.3 26.9  7.3 35.6  0.1 2.92 -0.08
 79 wK0III 5.0  4.1 .10  5.9 1.9 1.0  0.0  0.0  2.5  0.9 24.6  6.6 20.4  1.7 2.19 -0.33
 80 rK0III 5.9  7.1 .18  7.9 2.9 1.7  0.0  0.0  2.4  1.7 28.7  4.1 39.1  2.1 2.94  0.18
 81 K1III  6.2  7.1 .18  7.7 2.8 1.0  0.0  0.0  2.8  1.0 28.6  6.2 40.1  1.1 3.09  0.09
 82 wK1III 5.6  5.9 .15  6.8 2.2 1.0  0.0  0.0  2.7  0.9 27.1  8.7 23.0  0.6 2.78 -0.10
 83 rK1III 6.2  9.3 .24  8.4 2.8 1.9  0.0  0.0  2.6  1.2 28.8  7.0 37.8  3.3 3.05  0.27
 84 K2III  5.7  7.3 .19  8.1 2.9 2.1  0.0  0.0  2.7  1.0 29.5  7.1 33.1  4.3 2.85  0.05
 85 wK2III 6.1  4.6 .11  6.5 1.7 0.8  0.0  0.0  2.1  1.1 29.3  6.1 27.9  1.8 2.97 -0.38
 86 rK2III 6.9  8.8 .24  9.8 3.0 2.1  0.0  0.0  2.1  0.8 32.7  7.6 40.1  6.1 3.32  0.24
 87 K3III  5.1  8.0 .21  8.7 2.6 1.3  0.0  0.0  1.6  1.0 27.9  7.5 24.0  8.3 3.09 -0.02
 88 wK3III 5.5  5.9 .15  6.8 2.0 0.9  0.0  0.0  1.8  1.4 21.7  8.7 21.4  7.1 2.99 -0.36
 89 rK3III 6.8  9.8 .26 11.  3.2 2.1  0.0  0.0  2.6  0.8 30.4  8.6 35.1  7.8 3.53  0.27
 90 K4III  6.2 10.  .27 12.  2.8 1.5  0.0  0.0  1.7  1.0 35.6  8.2 36.2  1.2 3.86  0.09
 91 wK4III 5.3  8.1 .21  7.9 2.2 1.0  0.0  0.0  1.5  0.3 30.4  2.3 29.3  0.3 3.76 -0.33
 92 rK4III 6.3 10.  .28 11.  3.3 2.2  0.0  0.0  2.5  0.6 33.9  8.4 37.5  8.2 3.60  0.15
 93 K5III  6.4 12.  .32  9.9 3.0 1.4  0.0  0.0  1.2  0.8 34.5  6.6 26.1  3.5 3.89 -0.09
 94 rK5III 5.5 14.  .38 12.  3.3 2.5  0.0  0.0  2.2  0.7 34.7  9.0 28.1  4.9 3.87  0.08
 95 M0III  5.0 14.  .38 11.  2.9 2.4  0.0  0.0  2.6  0.0 32.8  4.7 18.0  3.9 3.88  0.04
 96 M1III  5.1 13.  .36 10.  2.8 2.2  0.0  0.0  2.8  0.0 32.5  8.7 19.6  6.5 3.71  0.0
 97 M2III  3.4 15.  .39  9.2 2.6 2.0  0.0  0.0  3.1  0.0 29.3  7.9 14.8  4.4 4.10  0.0
 98 M3III  4.9 16.  .42  8.6 2.6 2.1  0.0  0.0  4.3  0.0 32.6  7.6 14.2  0.0 3.70  0.0
 99 M4III  4.2 17.  .42  5.4 2.3 1.9  0.0  0.0  7.4  0.0 31.2  6.9 13.5  0.0 3.59  0.0
100 M5III  4.3 17.  .41  1.7 2.1 1.3  0.0  0.0  9.5  0.0 30.2  5.5 17.3  0.0 3.02  0.0
101 M6III  3.5 16.  .33  0.0 2.6 1.4  0.0  0.0 14.1  0.0 30.4  3.1 12.6  0.0 3.27  0.0
102 M7III  3.5 17.  .33  0.0 2.0 0.9  0.0  0.0 17.5  0.0 33.2  3.8 15.9  0.0 2.80  0.0
103 M8III  0.0 16.  .31  0.0 1.4 0.2  0.0  0.0 19.7  0.0 23.8  2.0 10.2  0.0 1.53  0.0
104 M9III  0.0  0.0 .00  0.0 0.0 0.0  0.0  7.3  0.0  0.0 49.3 10.  20.2  0.0 1.17  0.0
105 M10III 0.0  0.0 .00  0.0 0.0 0.0  0.0  8.1  0.0  0.0 48.5 12.  20.0  0.0 1.10  0.0
106 B2II   0.0  1.6 .04  0.0 0.0 0.0  2.0  0.7  1.3  2.8  1.7  2.2  1.5  0.0 0.92  0.0
107 B5II   0.0  1.9 .04  0.0 0.0 0.1  2.5  2.3  3.1  4.6  1.2  3.7  0.0  4.0 1.04  0.0
108 F0II   0.0  2.9 .06  0.0 0.9 0.9  7.1  6.2  8.0  5.8 15.7 11.   0.0  0.0 1.31  0.0
109 F2II   0.0  3.1 .07  0.0 1.1 1.0  6.4  5.2  7.0  5.5 19.0  7.7  0.7  0.0 1.48  0.0
110 G5II   5.8  5.5 .14  5.6 2.0 1.6  0.0  0.0  2.9  1.8 27.9  6.8 32.5  0.0 2.39 -0.03
111 K01II  6.1  5.7 .14  6.8 2.5 1.7  0.0  0.0  2.6  1.6 29.7  8.2 42.1  5.8 3.31 -0.23
112 K34II  7.6  9.1 .24 11.  3.1 2.4  0.0  0.0  2.9  1.2 34.4  8.2 31.3  8.4 3.80  0.08
113 M3II   4.8 13.  .35  9.3 2.7 2.5  0.0  0.0  4.9  0.0 29.9  8.6 14.7  3.5 3.22  0.0
114 B0I    0.0  1.5 .04  0.0 0.3 0.0  3.8  1.0  2.1  0.9  2.2  2.0  0.8  0.0 0.88  0.0
115 B1I    0.0  1.3 .03  0.0 0.3 0.0  2.2  0.4  1.3  0.0  2.0  2.6  0.4  3.4 0.88  0.0
116 B3I    0.0  1.2 .03  0.0 0.0 0.1  2.3  1.5  2.8  0.4  2.9  4.7  0.0  0.0 0.96  0.0
117 B5I    0.0  0.8 .02  0.0 0.3 0.2  2.7  1.3  2.8  1.4  2.9  4.6  1.1  0.9 0.94  0.0
118 B8I    0.0  0.7 .02  0.0 0.3 0.4  2.7  0.1  2.0  0.0  2.8  4.7  0.1  0.0 0.97  0.0
119 A0I    0.0  1.9 .05  0.0 0.2 0.0  5.3  4.2  6.2  3.3  5.7  8.8  0.0  1.5 1.05  0.0
120 A2I    0.0  2.2 .05  0.0 0.6 0.5  6.0  4.8  6.8  0.8  9.4  0.0  0.7  3.2 1.13  0.0
121 F0I    0.0  2.7 .06  0.0 0.9 1.1  7.8  7.6  8.8  4.8 17.0 10.6  0.0  0.0 1.37  0.0
122 F5I    0.9  3.4 .08  0.0 1.8 1.5  4.9  3.2  6.8  4.0 25.2  9.9  0.0  0.0 1.43  0.0
123 F8I    3.3  3.5 .08  2.2 1.9 2.1  2.1  1.2  5.7  2.9 26.4 14.4  0.0  0.3 1.70  0.0
124 G0I    4.1  3.3 .08  3.8 2.2 1.6  0.2  0.0  5.4  2.3 27.6 11.8  5.6  0.0 1.94  0.0
125 G2I    5.8  3.5 .09  4.9 2.1 1.7  0.0  0.0  3.8  1.9 29.5 10.2 18.6  3.7 2.24  0.0
126 G5I    5.9  5.1 .12  6.6 2.6 2.3  0.0  0.0  4.7  0.7 28.4 10.2 18.2  8.4 2.30  0.08
127 G8I    6.6  6.8 .17  8.1 2.8 2.0  0.0  0.0  3.1  1.2 31.0  9.6 29.9 16.  2.81 -0.0
128 K2I    6.8  7.7 .20  9.3 2.9 1.5  0.0  0.0  2.6  1.0 34.4  9.1 35.0 10.  3.62 -0.18
129 K3I    6.6 10.  .28 11.  3.2 2.6  0.0  0.0  2.7  1.1 34.3 10.5 23.1 12.  3.56 -0.05
130 K4I    6.1 11.  .29 11.  3.3 2.7  0.0  0.0  2.9  1.2 31.9 10.6 23.4 10.  3.42 -0.19
131 M2I    5.5 12.  .31  9.6 3.1 2.3  0.0  0.0  5.2  0.0 30.0  9.8 13.9 13.  3.20  0.0
